time_open,time_close,time_high,time_low,quote.USDT.open,quote.USDT.high,quote.USDT.low,quote.USDT.close,quote.USDT.volume,quote.USDT.market_cap,quote.USDT.timestamp
2013-06-05T00:00:00.000Z,2013-06-05T23:59:59.999Z,2013-06-05T17:50:02.000Z,2013-06-05T05:55:01.000Z,,,,,,,
2013-06-06T00:00:00.000Z,2013-06-06T23:59:59.999Z,2013-06-06T03:05:01.000Z,2013-06-06T23:15:02.000Z,,,,,,,
2013-06-07T00:00:00.000Z,2013-06-07T23:59:59.999Z,2013-06-07T01:11:16.000Z,2013-06-07T16:30:01.000Z,,,,,,,
2013-06-08T00:00:00.000Z,2013-06-08T23:59:59.999Z,2013-06-08T00:20:02.000Z,2013-06-08T11:45:01.000Z,,,,,,,
2013-06-09T00:00:00.000Z,2013-06-09T23:59:59.999Z,2013-06-09T20:10:01.000Z,2013-06-09T06:45:01.000Z,,,,,,,
2013-06-10T00:00:00.000Z,2013-06-10T23:59:59.999Z,2013-06-10T01:40:02.000Z,2013-06-10T00:35:02.000Z,,,,,,,
2013-06-11T00:00:00.000Z,2013-06-11T23:59:59.999Z,2013-06-11T16:25:01.000Z,2013-06-11T06:20:02.000Z,,,,,,,
2013-06-12T00:00:00.000Z,2013-06-12T23:59:59.999Z,2013-06-12T12:20:01.000Z,2013-06-12T00:15:02.000Z,,,,,,,
2013-06-13T00:00:00.000Z,2013-06-13T23:59:59.999Z,2013-06-13T03:40:02.000Z,2013-06-13T22:40:01.000Z,,,,,,,
2013-06-14T00:00:00.000Z,2013-06-14T23:59:59.999Z,2013-06-14T22:00:02.000Z,2013-06-14T04:05:02.000Z,,,,,,,
2013-06-15T00:00:00.000Z,2013-06-15T23:59:59.999Z,2013-06-15T00:00:04.000Z,2013-06-15T02:05:02.000Z,,,,,,,
2013-06-16T00:00:00.000Z,2013-06-16T23:59:59.999Z,2013-06-16T00:15:02.000Z,2013-06-16T00:20:02.000Z,,,,,,,
2013-06-17T00:00:00.000Z,2013-06-17T23:59:59.999Z,2013-06-17T00:10:02.000Z,2013-06-17T00:20:02.000Z,,,,,,,
2013-06-18T00:00:00.000Z,2013-06-18T23:59:59.999Z,2013-06-18T13:50:02.000Z,2013-06-18T00:25:01.000Z,,,,,,,
2013-06-19T00:00:00.000Z,2013-06-19T23:59:59.999Z,2013-06-19T10:10:01.000Z,2013-06-19T02:30:02.000Z,,,,,,,
2013-06-20T00:00:00.000Z,2013-06-20T23:59:59.999Z,2013-06-20T17:50:02.000Z,2013-06-20T05:00:01.000Z,,,,,,,
2013-06-21T00:00:00.000Z,2013-06-21T23:59:59.999Z,2013-06-21T03:45:02.000Z,2013-06-21T13:25:02.000Z,,,,,,,
2013-06-22T00:00:00.000Z,2013-06-22T23:59:59.999Z,2013-06-22T01:40:01.000Z,2013-06-22T12:45:02.000Z,,,,,,,
2013-06-23T00:00:00.000Z,2013-06-23T23:59:59.999Z,2013-06-23T08:40:02.000Z,2013-06-23T17:50:01.000Z,,,,,,,
2013-06-24T00:00:00.000Z,2013-06-24T23:59:59.999Z,2013-06-24T00:20:01.000Z,2013-06-24T17:00:02.000Z,,,,,,,
2013-06-25T00:00:00.000Z,2013-06-25T23:59:59.999Z,2013-06-25T08:00:02.000Z,2013-06-25T03:30:02.000Z,,,,,,,
2013-06-26T00:00:00.000Z,2013-06-26T23:59:59.999Z,2013-06-26T08:55:01.000Z,2013-06-26T22:25:02.000Z,,,,,,,
2013-06-27T00:00:00.000Z,2013-06-27T23:59:59.999Z,2013-06-27T00:00:01.000Z,2013-06-27T23:50:02.000Z,,,,,,,
2013-06-28T00:00:00.000Z,2013-06-28T23:59:59.999Z,2013-06-28T03:50:01.000Z,2013-06-28T03:55:02.000Z,,,,,,,
2013-06-29T00:00:00.000Z,2013-06-29T23:59:59.999Z,2013-06-29T05:40:01.000Z,2013-06-29T00:50:01.000Z,,,,,,,
2013-06-30T00:00:00.000Z,2013-06-30T23:59:59.999Z,2013-06-30T14:05:02.000Z,2013-06-30T00:40:02.000Z,,,,,,,
2013-07-01T00:00:00.000Z,2013-07-01T23:59:59.999Z,2013-07-01T04:35:01.000Z,2013-07-01T23:25:02.000Z,,,,,,,
2013-07-02T00:00:00.000Z,2013-07-02T23:59:59.999Z,2013-07-02T12:50:03.000Z,2013-07-02T00:05:01.000Z,,,,,,,
2013-07-03T00:00:00.000Z,2013-07-03T23:59:59.999Z,2013-07-03T00:35:01.000Z,2013-07-03T22:30:01.000Z,,,,,,,
2013-07-04T00:00:00.000Z,2013-07-04T23:59:59.999Z,2013-07-04T10:41:01.000Z,2013-07-04T06:06:02.000Z,,,,,,,
2013-07-05T00:00:00.000Z,2013-07-05T23:59:59.999Z,2013-07-05T01:06:02.000Z,2013-07-05T18:56:01.000Z,,,,,,,
2013-07-06T00:00:00.000Z,2013-07-06T23:59:59.999Z,2013-07-06T09:51:02.000Z,2013-07-06T02:26:02.000Z,,,,,,,
2013-07-07T00:00:00.000Z,2013-07-07T23:59:59.999Z,2013-07-07T23:56:01.000Z,2013-07-07T04:56:01.000Z,,,,,,,
2013-07-08T00:00:00.000Z,2013-07-08T23:59:59.999Z,2013-07-08T05:46:01.000Z,2013-07-08T14:11:01.000Z,,,,,,,
2013-07-09T00:00:00.000Z,2013-07-09T23:59:59.999Z,2013-07-09T20:06:07.000Z,2013-07-09T13:46:01.000Z,,,,,,,
2013-07-10T00:00:00.000Z,2013-07-10T23:59:59.999Z,2013-07-10T21:41:02.000Z,2013-07-10T04:31:01.000Z,,,,,,,
2013-07-11T00:00:00.000Z,2013-07-11T23:59:59.999Z,2013-07-11T01:01:01.000Z,2013-07-11T13:56:01.000Z,,,,,,,
2013-07-12T00:00:00.000Z,2013-07-12T23:59:59.999Z,2013-07-12T10:56:02.000Z,2013-07-12T09:01:02.000Z,,,,,,,
2013-07-13T00:00:00.000Z,2013-07-13T23:59:59.999Z,2013-07-13T23:51:01.000Z,2013-07-13T03:01:02.000Z,,,,,,,
2013-07-14T00:00:00.000Z,2013-07-14T23:59:59.999Z,2013-07-14T00:01:01.000Z,2013-07-14T23:16:01.000Z,,,,,,,
2013-07-15T00:00:00.000Z,2013-07-15T23:59:59.999Z,2013-07-15T13:41:01.000Z,2013-07-15T13:21:01.000Z,,,,,,,
2013-07-16T00:00:00.000Z,2013-07-16T23:59:59.999Z,2013-07-16T08:31:01.000Z,2013-07-16T03:41:01.000Z,,,,,,,
2013-07-17T00:00:00.000Z,2013-07-17T23:59:59.999Z,2013-07-17T08:26:02.000Z,2013-07-17T00:11:02.000Z,,,,,,,
2013-07-18T00:00:00.000Z,2013-07-18T23:59:59.999Z,2013-07-18T00:36:02.000Z,2013-07-18T12:21:02.000Z,,,,,,,
2013-07-19T00:00:00.000Z,2013-07-19T23:59:59.999Z,2013-07-19T19:01:01.000Z,2013-07-19T02:01:02.000Z,,,,,,,
2013-07-20T00:00:00.000Z,2013-07-20T23:59:59.999Z,2013-07-20T09:31:01.000Z,2013-07-20T23:41:01.000Z,,,,,,,
2013-07-21T00:00:00.000Z,2013-07-21T23:59:59.999Z,2013-07-21T23:31:02.000Z,2013-07-21T15:31:02.000Z,,,,,,,
2013-07-22T00:00:00.000Z,2013-07-22T23:59:59.999Z,2013-07-22T00:01:01.000Z,2013-07-22T14:56:01.000Z,,,,,,,
2013-07-23T00:00:00.000Z,2013-07-23T23:59:59.999Z,2013-07-23T14:16:02.000Z,2013-07-23T00:01:01.000Z,,,,,,,
2013-07-24T00:00:00.000Z,2013-07-24T23:59:59.999Z,2013-07-24T19:36:01.000Z,2013-07-24T08:06:13.000Z,,,,,,,
2013-07-25T00:00:00.000Z,2013-07-25T23:59:59.999Z,2013-07-25T12:11:02.000Z,2013-07-25T06:11:02.000Z,,,,,,,
2013-07-26T00:00:00.000Z,2013-07-26T23:59:59.999Z,2013-07-26T00:16:02.000Z,2013-07-26T06:06:02.000Z,,,,,,,
2013-07-27T00:00:00.000Z,2013-07-27T23:59:59.999Z,2013-07-27T00:16:02.000Z,2013-07-27T06:51:01.000Z,,,,,,,
2013-07-28T00:00:00.000Z,2013-07-28T23:59:59.999Z,2013-07-28T21:41:02.000Z,2013-07-28T23:06:01.000Z,,,,,,,
2013-07-29T00:00:00.000Z,2013-07-29T23:59:59.999Z,2013-07-29T05:21:01.000Z,2013-07-29T01:06:02.000Z,,,,,,,
2013-07-30T00:00:00.000Z,2013-07-30T23:59:59.999Z,2013-07-30T23:56:01.000Z,2013-07-30T01:36:02.000Z,,,,,,,
2013-07-31T00:00:00.000Z,2013-07-31T23:59:59.999Z,2013-07-31T04:51:01.000Z,2013-07-31T16:06:02.000Z,,,,,,,
2013-08-01T00:00:00.000Z,2013-08-01T23:59:59.999Z,2013-08-01T11:01:01.000Z,2013-08-01T19:56:01.000Z,,,,,,,
2013-08-02T00:00:00.000Z,2013-08-02T23:59:59.999Z,2013-08-02T10:16:01.000Z,2013-08-02T02:36:02.000Z,,,,,,,
2013-08-03T00:00:00.000Z,2013-08-03T23:59:59.999Z,2013-08-03T20:26:02.000Z,2013-08-03T13:01:01.000Z,,,,,,,
2013-08-04T00:00:00.000Z,2013-08-04T23:59:59.999Z,2013-08-04T23:41:01.000Z,2013-08-04T08:01:02.000Z,,,,,,,
2013-08-05T00:00:00.000Z,2013-08-05T23:59:59.999Z,2013-08-05T14:01:01.000Z,2013-08-05T00:11:02.000Z,,,,,,,
2013-08-06T00:00:00.000Z,2013-08-06T23:59:59.999Z,2013-08-06T15:11:02.000Z,2013-08-06T05:06:02.000Z,,,,,,,
2013-08-07T00:00:00.000Z,2013-08-07T23:59:59.999Z,2013-08-07T00:01:00.000Z,2013-08-07T00:01:00.000Z,,,,,,,
2013-08-08T00:00:00.000Z,2013-08-08T23:59:59.999Z,2013-08-08T00:01:00.000Z,2013-08-08T17:01:02.000Z,,,,,,,
2013-08-09T00:00:00.000Z,2013-08-09T23:59:59.999Z,2013-08-09T01:01:02.000Z,2013-08-09T21:16:00.000Z,,,,,,,
2013-08-10T00:00:00.000Z,2013-08-10T23:59:59.999Z,2013-08-10T04:36:02.000Z,2013-08-10T03:26:01.000Z,,,,,,,
2013-08-11T00:00:00.000Z,2013-08-11T23:59:59.999Z,2013-08-11T20:31:01.000Z,2013-08-11T05:16:01.000Z,,,,,,,
2013-08-12T00:00:00.000Z,2013-08-12T23:59:59.999Z,2013-08-12T21:41:02.000Z,2013-08-12T07:11:01.000Z,,,,,,,
2013-08-13T00:00:00.000Z,2013-08-13T23:59:59.999Z,2013-08-13T23:51:02.000Z,2013-08-13T13:06:02.000Z,,,,,,,
2013-08-14T00:00:00.000Z,2013-08-14T23:59:59.999Z,2013-08-14T17:56:02.000Z,2013-08-14T02:31:02.000Z,,,,,,,
2013-08-15T00:00:00.000Z,2013-08-15T23:59:59.999Z,2013-08-15T03:21:01.000Z,2013-08-15T14:06:02.000Z,,,,,,,
2013-08-16T00:00:00.000Z,2013-08-16T23:59:59.999Z,2013-08-16T06:51:02.000Z,2013-08-16T23:51:01.000Z,,,,,,,
2013-08-17T00:00:00.000Z,2013-08-17T23:59:59.999Z,2013-08-17T22:56:01.000Z,2013-08-17T03:51:01.000Z,,,,,,,
2013-08-18T00:00:00.000Z,2013-08-18T23:59:59.999Z,2013-08-18T14:51:02.000Z,2013-08-18T05:36:01.000Z,,,,,,,
2013-08-19T00:00:00.000Z,2013-08-19T23:59:59.999Z,2013-08-19T07:56:01.000Z,2013-08-19T02:01:01.000Z,,,,,,,
2013-08-20T00:00:00.000Z,2013-08-20T23:59:59.999Z,2013-08-20T05:56:01.000Z,2013-08-20T01:26:01.000Z,,,,,,,
2013-08-21T00:00:00.000Z,2013-08-21T23:59:59.999Z,2013-08-21T02:51:01.000Z,2013-08-21T05:46:02.000Z,,,,,,,
2013-08-22T00:00:00.000Z,2013-08-22T23:59:59.999Z,2013-08-22T19:26:01.000Z,2013-08-22T01:41:02.000Z,,,,,,,
2013-08-23T00:00:00.000Z,2013-08-23T23:59:59.999Z,2013-08-23T00:06:01.000Z,2013-08-23T23:11:02.000Z,,,,,,,
2013-08-24T00:00:00.000Z,2013-08-24T23:59:59.999Z,2013-08-24T21:06:02.000Z,2013-08-24T10:41:01.000Z,,,,,,,
2013-08-25T00:00:00.000Z,2013-08-25T23:59:59.999Z,2013-08-25T23:21:02.000Z,2013-08-25T03:01:02.000Z,,,,,,,
2013-08-26T00:00:00.000Z,2013-08-26T23:59:59.999Z,2013-08-26T00:06:02.000Z,2013-08-26T18:11:02.000Z,,,,,,,
2013-08-27T00:00:00.000Z,2013-08-27T23:59:59.999Z,2013-08-27T05:46:05.000Z,2013-08-27T00:01:02.000Z,,,,,,,
2013-08-28T00:00:00.000Z,2013-08-28T23:59:59.999Z,2013-08-28T04:16:02.000Z,2013-08-28T23:56:02.000Z,,,,,,,
2013-08-29T00:00:00.000Z,2013-08-29T23:59:59.999Z,2013-08-29T00:56:02.000Z,2013-08-29T10:26:02.000Z,,,,,,,
2013-08-30T00:00:00.000Z,2013-08-30T23:59:59.999Z,2013-08-30T15:46:02.000Z,2013-08-30T12:36:02.000Z,,,,,,,
2013-08-31T00:00:00.000Z,2013-08-31T23:59:59.999Z,2013-08-31T21:11:02.000Z,2013-08-31T07:46:02.000Z,,,,,,,
2013-09-01T00:00:00.000Z,2013-09-01T23:59:59.999Z,2013-09-01T18:31:22.000Z,2013-09-01T03:56:01.000Z,,,,,,,
2013-09-02T00:00:00.000Z,2013-09-02T23:59:59.999Z,2013-09-02T11:36:02.000Z,2013-09-02T08:41:02.000Z,,,,,,,
2013-09-03T00:00:00.000Z,2013-09-03T23:59:59.999Z,2013-09-03T12:26:02.000Z,2013-09-03T11:51:02.000Z,,,,,,,
2013-09-04T00:00:00.000Z,2013-09-04T23:59:59.999Z,2013-09-04T13:51:22.000Z,2013-09-04T21:26:02.000Z,,,,,,,
2013-09-05T00:00:00.000Z,2013-09-05T23:59:59.999Z,2013-09-05T15:41:01.000Z,2013-09-05T02:01:02.000Z,,,,,,,
2013-09-06T00:00:00.000Z,2013-09-06T23:59:59.999Z,2013-09-06T03:06:01.000Z,2013-09-06T23:56:02.000Z,,,,,,,
2013-09-07T00:00:00.000Z,2013-09-07T23:59:59.999Z,2013-09-07T17:46:01.000Z,2013-09-07T00:41:01.000Z,,,,,,,
2013-09-08T00:00:00.000Z,2013-09-08T23:59:59.999Z,2013-09-08T03:11:02.000Z,2013-09-08T22:36:02.000Z,,,,,,,
2013-09-09T00:00:00.000Z,2013-09-09T23:59:59.999Z,2013-09-09T15:16:03.000Z,2013-09-09T11:16:02.000Z,,,,,,,
2013-09-10T00:00:00.000Z,2013-09-10T23:59:59.999Z,2013-09-10T09:06:02.000Z,2013-09-10T23:51:01.000Z,,,,,,,
2013-09-11T00:00:00.000Z,2013-09-11T23:59:59.999Z,2013-09-11T22:41:01.000Z,2013-09-11T05:41:02.000Z,,,,,,,
2013-09-12T00:00:00.000Z,2013-09-12T23:59:59.999Z,2013-09-12T00:06:02.000Z,2013-09-12T10:41:02.000Z,,,,,,,
2013-09-13T00:00:00.000Z,2013-09-13T23:59:59.999Z,2013-09-13T03:51:02.000Z,2013-09-13T01:21:01.000Z,,,,,,,
2013-09-14T00:00:00.000Z,2013-09-14T23:59:59.999Z,2013-09-14T02:36:01.000Z,2013-09-14T22:26:01.000Z,,,,,,,
2013-09-15T00:00:00.000Z,2013-09-15T23:59:59.999Z,2013-09-15T11:46:01.000Z,2013-09-15T06:21:01.000Z,,,,,,,
2013-09-16T00:00:00.000Z,2013-09-16T23:59:59.999Z,2013-09-16T09:46:01.000Z,2013-09-16T04:56:02.000Z,,,,,,,
2013-09-17T00:00:00.000Z,2013-09-17T23:59:59.999Z,2013-09-17T22:26:01.000Z,2013-09-17T05:56:01.000Z,,,,,,,
2013-09-18T00:00:00.000Z,2013-09-18T23:59:59.999Z,2013-09-18T12:36:02.000Z,2013-09-18T05:21:02.000Z,,,,,,,
2013-09-19T00:00:00.000Z,2013-09-19T23:59:59.999Z,2013-09-19T02:06:02.000Z,2013-09-19T17:31:01.000Z,,,,,,,
2013-09-20T00:00:00.000Z,2013-09-20T23:59:59.999Z,2013-09-20T08:06:22.000Z,2013-09-20T23:31:01.000Z,,,,,,,
2013-09-21T00:00:00.000Z,2013-09-21T23:59:59.999Z,2013-09-21T08:51:01.000Z,2013-09-21T14:31:01.000Z,,,,,,,
2013-09-22T00:00:00.000Z,2013-09-22T23:59:59.999Z,2013-09-22T11:31:04.000Z,2013-09-22T03:01:01.000Z,,,,,,,
2013-09-23T00:00:00.000Z,2013-09-23T23:59:59.999Z,2013-09-23T14:26:01.000Z,2013-09-23T18:21:01.000Z,,,,,,,
2013-09-24T00:00:00.000Z,2013-09-24T23:59:59.999Z,2013-09-24T21:41:02.000Z,2013-09-24T14:36:01.000Z,,,,,,,
2013-09-25T00:00:00.000Z,2013-09-25T23:59:59.999Z,2013-09-25T12:01:01.000Z,2013-09-25T00:06:01.000Z,,,,,,,
2013-09-26T00:00:00.000Z,2013-09-26T23:59:59.999Z,2013-09-26T13:46:02.000Z,2013-09-26T23:01:02.000Z,,,,,,,
2013-09-27T00:00:00.000Z,2013-09-27T23:59:59.999Z,2013-09-27T23:41:02.000Z,2013-09-27T00:51:01.000Z,,,,,,,
2013-09-28T00:00:00.000Z,2013-09-28T23:59:59.999Z,2013-09-28T23:31:01.000Z,2013-09-28T11:36:01.000Z,,,,,,,
2013-09-29T00:00:00.000Z,2013-09-29T23:59:59.999Z,2013-09-29T13:36:01.000Z,2013-09-29T02:01:01.000Z,,,,,,,
2013-09-30T00:00:00.000Z,2013-09-30T23:59:59.999Z,2013-09-30T00:16:02.000Z,2013-09-30T18:06:02.000Z,,,,,,,
2013-10-01T00:00:00.000Z,2013-10-01T23:59:59.999Z,2013-10-01T11:16:01.000Z,2013-10-01T18:56:02.000Z,,,,,,,
2013-10-02T00:00:00.000Z,2013-10-02T23:59:59.999Z,2013-10-02T12:41:01.000Z,2013-10-02T18:01:09.000Z,,,,,,,
2013-10-03T00:00:00.000Z,2013-10-03T23:59:59.999Z,2013-10-03T23:56:03.000Z,2013-10-03T14:21:02.000Z,,,,,,,
2013-10-04T00:00:00.000Z,2013-10-04T23:59:59.999Z,2013-10-04T20:56:02.000Z,2013-10-04T00:01:03.000Z,,,,,,,
2013-10-05T00:00:00.000Z,2013-10-05T23:59:59.999Z,2013-10-05T10:31:12.000Z,2013-10-05T09:36:01.000Z,,,,,,,
2013-10-06T00:00:00.000Z,2013-10-06T23:59:59.999Z,2013-10-06T08:26:02.000Z,2013-10-06T11:36:08.000Z,,,,,,,
2013-10-07T00:00:00.000Z,2013-10-07T23:59:59.999Z,2013-10-07T06:31:01.000Z,2013-10-07T22:21:02.000Z,,,,,,,
2013-10-08T00:00:00.000Z,2013-10-08T23:59:59.999Z,2013-10-08T00:16:01.000Z,2013-10-08T15:36:01.000Z,,,,,,,
2013-10-09T00:00:00.000Z,2013-10-09T23:59:59.999Z,2013-10-09T20:06:02.000Z,2013-10-09T00:11:02.000Z,,,,,,,
2013-10-10T00:00:00.000Z,2013-10-10T23:59:59.999Z,2013-10-10T03:56:01.000Z,2013-10-10T16:46:05.000Z,,,,,,,
2013-10-11T00:00:00.000Z,2013-10-11T23:59:59.999Z,2013-10-11T10:11:02.000Z,2013-10-11T14:06:01.000Z,,,,,,,
